,BSE SENSEX Close,Crude Close,Dow Jones Industrial Average Close,Euronext 100 Close,FTSE 100 Index Close,Gold Close,NASDAQ Composite Close,NYSE Composite Close,Nifty 50 Close,Nikkei 225 Close,S&P 500 Index Close,SSE Composite Index Close,BSE SENSEX High,Crude High,Dow Jones Industrial Average High,Euronext 100 High,FTSE 100 Index High,Gold High,NASDAQ Composite High,NYSE Composite High,Nifty 50 High,Nikkei 225 High,S&P 500 Index High,SSE Composite Index High,BSE SENSEX Low,Crude Low,Dow Jones Industrial Average Low,Euronext 100 Low,FTSE 100 Index Low,Gold Low,NASDAQ Composite Low,NYSE Composite Low,Nifty 50 Low,Nikkei 225 Low,S&P 500 Index Low,SSE Composite Index Low,BSE SENSEX Open,Crude Open,Dow Jones Industrial Average Open,Euronext 100 Open,FTSE 100 Index Open,Gold Open,NASDAQ Composite Open,NYSE Composite Open,Nifty 50 Open,Nikkei 225 Open,S&P 500 Index Open,SSE Composite Index Open
3206,0.003555098370663,-0.008730699223874,-0.004597552140563,-0.001156574209908,-0.001342466561561,0.003737867507014,-0.002669584793033,-0.00283480891115,0.00334804744265,0.00466309107347,-0.002855178689661,-0.000837209427076,0.007063001445559,-0.008787971844232,0.000726526141162,-0.002010730187704,0.000550643097623,0.001992734944753,0.002088769968591,0.001230359332705,0.007129420447189,0.005730580380072,0.002262167900841,0.002549291933417,0.006607827125058,0.003238981029718,-0.001914101479745,-0.00082941871396,0.001346578231264,0.001360704671476,0.000672616285418,-0.001335971605602,0.006647439484966,0.01084523340758,-0.000860937080155,0.000410661928213,0.00852876585514,-0.006334406692501,0.004351481894143,-0.000808802833171,0.003062772526581,-0.002892588636138,0.003334032323038,0.003152252973001,0.009697041967481,0.012026636545915,0.004831562831735,0.006375721271142
3207,0.006249384949267,-0.016260146842581,0.002889325419762,-0.001270139682672,0.003914152228514,-0.005842680954055,0.010357422631592,0.006066832477889,0.005935480807329,0,0.00697621525257,0.007528092477954,0.002980711076834,-0.008531253461815,-0.003418246609829,-0.000886735024192,0.000497877972681,-0.000513246601918,0.00425437870664,0.001497683897043,0.002156556977898,0,0.00156561323471,0.003331472076188,0.00658565550777,-0.015972789313195,0.001053526457462,-0.003579995724908,-0.000342790157384,0.00194124495445,0.003098796199566,0.001603167135935,0.005944355960272,0,0.00232141949344,-0.001951051698078,0.00529278926884,-0.00956214878356,-0.003744618841788,-0.002944781458556,-0.001342466561561,0.003996952963734,-0.002082808673631,-0.002685837352673,0.002094384753688,0,-0.00325435524621,-0.003481625397538
3208,0.0022202146475,0.002582605138649,0.001128414685809,0.001531344240377,0.000630094075033,-0.003874967647505,-0.002436896778014,-0.000393124350385,0.002656220260982,0.007320563285797,-0.001514532772802,-0.002808474792097,0.002258559681083,-0.009279555134347,0.004989638474155,-0.002162999620359,0.001951385710224,-0.007252919658614,0.00257047483447,0.001846495268252,0.002958400032421,0.006550157682929,0.001861275985322,0.003722874690229,0.001201721078057,-0.003280929497662,0.001833479854493,-0.005528117836003,0.000830834775799,-0.008718677206886,0.00363651119704,0.002990558152901,0.001863972308605,0.008020682456285,0.002680188943574,0.009826723082175,0.002270470645223,-0.017107081987947,0.000917601074303,-0.00113137973192,0.003914152228514,-0.006870471988214,0.006174555628818,0.003130133897029,0.002960096081417,0.006540878460424,0.004347187471359,0.009436887944213
3209,-0.00190449179427,-0.007212745530603,0.003128950036212,0.000207311691445,0.002676309640679,0.006288868658158,0.000796654872895,0.001146999854807,-0.001536930854306,-0.004519836658934,0.001870196884512,-0.00540103029067,-0.000581087576046,-0.006130800457555,0.002527338154161,0.001735879585244,-0.001032636284695,0.004655119589759,5.27228406479452E-05,0.001518301878646,-0.001543496323009,-0.002596388824488,0.001338669533086,-0.006149013450352,-0.002939583947033,-0.006237016679452,0.000868656275803,0.006850369384336,0.002714539609218,0.006971106262093,0.000503920119612,0.001110253863454,-0.002433254107847,-0.003166371068028,0.001067988143067,-0.007587874682856,0.002071707975073,0.002929553458878,0.000218054065512,0.001530338001005,0.000630094075033,0.000840530722934,-0.001817635009831,-0.000137666310234,0.001321710013402,-0.00190072675134,-0.000937518995981,-0.005606836729553
3210,0.001428808781521,0.012281596049239,0.009211777086015,0.001148622954475,-0.004317789402224,-0.001997278290511,0.010631048141059,0.006301028427905,0.000988406301844,0.000692021233635,0.008366553026468,-0.005164652940821,0.002134623396031,0.008738833382444,0.005930132553932,0.002146672746692,0.001413133046102,0.001415761076849,0.006355602903258,0.003716775162133,0.002743747586288,-0.000917173286418,0.005593239619753,-0.003722038170569,0.003941880615079,0.00348676361247,0.00811837807087,0.001932777270167,-0.001852984182354,0.001876309821343,0.007602600191882,0.005256347679376,0.003017392217245,0.001238095549728,0.006745571007434,-0.003619682326636,-0.001075083272185,-0.001718252362671,0.007963117566339,0.000742397068936,0.002676309640679,0.004974128664005,0.006450397589662,0.005792949079783,-0.000186307122388,0.001534841472919,0.006306596059646,-0.002396270698498
3211,0.000305550160297,0.000341771319329,0.001722288324199,0.009368623084302,0.008515374205881,0.006326693885171,0.003399605143179,0.002928904358159,-0.000254978804986,0.004517959095504,0.003862162248501,0.000460312866618,0.00010652704287,0.001868534267833,0.00250163914057,0.007785418708976,0.004716747307885,0.00173515409328,0.003800048212838,0.002895580464344,-0.00029054765553,0.005863029254863,0.003849668831329,-0.001427530644011,0.000909010734735,0.012334938629834,0.00542225775261,0.006695493282336,0.001909075398321,0.003293494081976,0.004890623726974,0.00436474154615,0.000454748049361,0.00453325304719,0.004856467724703,-0.001182429383969,0.000102117512846,0.008433764050528,0.006225512984496,0.004106111507984,-0.004317789402224,-0.00102846026622,0.008473757868456,0.004581078194421,-0.00151446245204,0.005978664813767,0.006264041632157,-0.004609496782605
3212,-0.00992865068637,0,0,-0.00267508053097,-0.003022984262018,0,0,0,-0.010346193941152,0.001757395428188,0,0.006597639862471,0.004991007920793,0,0,-0.001690167497475,-0.000897354961798,0,0,0,0.003637316688299,-0.00032508957781,0,0.001409831392695,-0.00828949994185,0,0,0.001417863464267,0.003916041648086,0,0,0,-0.008481178817914,0.001995520144709,0,0.001052098035351,0.007965377499493,0,0,0.004467273587206,0.008515374205881,0,0,0,0.008281659107425,-0.00094465862721,0,0.000210590082443
3213,-0.004938765831521,-0.003416480352093,-0.005181274048369,-0.0047990002815,-0.005319249751772,-0.001539661495311,-0.001931086847422,-0.005162426360357,-0.004474618385662,-0.009091250439855,-0.002651977647366,-0.014098907726792,-0.017535211013822,0.012716175073262,-0.001103309843089,-0.006977429689718,-0.00408703898865,0.004747178670743,0.000436431351365,-0.002132107489725,-0.016125674374522,-0.001093382089403,-2.69810783457558E-05,-0.003397913185818,-0.005037429659093,-0.010125281413299,-0.004897230901693,-0.011515495908345,-0.011662926922521,-0.001673516752573,0.000362757470824,-0.003815287834277,-0.004469266687269,-0.009067926450385,-0.000677943609304,-0.006269378117574,-0.018347719932329,0.009899266339766,-0.001509886287126,-0.008877793749283,-0.003022984262018,0.003346035212586,-0.003332471388689,-0.002965776191699,-0.018921217594827,-0.000326782330363,-0.000791261104338,0.001193013334961
